Cockatrice Eye,Dragon Head,Lich Skull,Unicorn Horn,Zombie Hand,Tax Assessed
3,0,0,5,9,5 gp 8 sp
3,0,0,5,9,5 gp 8 sp
1,1,1,0,0,3 gp 0 sp
0,2,2,0,0,18 gp 6 sp
1,1,1,0,0,3 gp 0 sp
0,1,1,0,0,4 gp 8 sp
1,2,1,0,0,11 gp 4 sp
1,2,0,2,8,25 gp 2 sp
1,2,1,1,8,26 gp 4 sp
1,2,0,2,8,25 gp 2 sp
2,2,8,13,3,51 gp 8 sp
3,1,5,2,23,59 gp 0 sp
1,0,0,2,7,4 gp 2 sp
1,0,0,2,7,4 gp 2 sp
0,0,0,1,6,3 gp 8 sp
1,0,0,2,6,3 gp 6 sp
2,1,1,4,2,21 gp 2 sp
3,2,2,3,1,29 gp 2 sp
2,2,2,3,1,32 gp 8 sp
0,0,0,1,0,1 gp 4 sp
3,0,1,1,1,0 gp 0 sp
3,0,1,1,1,0 gp 0 sp
3,0,0,0,1,0 gp 0 sp
0,3,2,7,12,40 gp 8 sp
1,3,2,6,11,34 gp 0 sp
2,1,3,0,12,26 gp 0 sp
1,1,4,0,11,26 gp 8 sp
0,2,5,2,4,57 gp 0 sp
0,3,4,3,4,69 gp 5 sp
1,1,0,2,2,5 gp 4 sp
1,1,0,1,2,3 gp 3 sp
1,0,0,1,2,0 gp 0 sp
1,1,0,2,2,5 gp 4 sp
2,0,0,1,2,0 gp 0 sp
1,0,2,0,3,3 gp 6 sp
1,0,2,0,3,3 gp 6 sp
1,0,2,0,2,3 gp 0 sp
1,0,1,0,2,0 gp 0 sp
0,0,1,0,2,1 gp 4 sp
2,6,1,13,8,64 gp 8 sp
2,0,0,1,3,0 gp 0 sp
2,0,0,0,3,0 gp 0 sp
1,0,0,1,3,0 gp 0 sp
0,0,2,5,13,20 gp 2 sp
0,0,3,5,13,22 gp 8 sp
0,0,0,0,8,1 gp 6 sp
1,0,0,1,8,0 gp 0 sp
1,0,0,1,8,0 gp 0 sp
1,0,0,2,7,4 gp 2 sp
0,1,0,2,7,12 gp 6 sp
1,0,0,2,7,4 gp 2 sp
1,0,0,2,7,4 gp 2 sp
0,0,0,3,6,9 gp 9 sp
1,0,0,3,6,5 gp 7 sp
0,0,0,4,6,12 gp 0 sp
0,0,0,3,6,9 gp 9 sp
6,3,6,1,1,69 gp 5 sp
0,2,3,0,6,33 gp 6 sp
0,2,3,1,5,35 gp 6 sp
0,2,3,1,5,35 gp 6 sp
0,0,1,3,0,9 gp 3 sp
0,0,1,2,0,4 gp 8 sp
0,0,1,3,0,9 gp 3 sp
0,0,1,2,0,4 gp 8 sp
0,0,0,2,0,2 gp 8 sp
0,0,0,1,10,5 gp 4 sp
0,0,0,1,10,5 gp 4 sp
1,0,0,0,8,0 gp 0 sp
1,0,0,0,7,0 gp 0 sp
0,0,0,0,7,1 gp 4 sp
1,0,0,0,7,0 gp 0 sp
1,0,1,3,7,9 gp 3 sp
0,0,2,3,7,16 gp 5 sp
1,0,1,2,6,6 gp 6 sp
1,0,1,2,6,6 gp 6 sp
0,0,0,0,7,1 gp 4 sp
0,0,0,0,7,1 gp 4 sp
0,0,0,0,7,1 gp 4 sp
0,0,0,0,7,1 gp 4 sp
2,1,0,2,7,10 gp 2 sp
2,1,0,3,6,11 gp 7 sp
2,0,0,3,6,7 gp 5 sp
1,1,0,3,6,9 gp 9 sp
4,0,0,0,0,0 gp 0 sp
3,0,0,3,9,5 gp 1 sp
4,0,0,2,9,4 gp 8 sp
4,0,1,2,9,14 gp 4 sp
2,0,2,4,9,25 gp 2 sp
2,0,2,3,9,22 gp 4 sp
1,0,2,4,8,22 gp 0 sp
1,1,2,2,5,19 gp 6 sp
2,1,1,3,5,20 gp 8 sp
1,1,2,3,5,22 gp 4 sp
2,0,1,2,5,7 gp 8 sp
1,1,2,3,5,22 gp 4 sp
1,1,1,2,6,10 gp 8 sp
1,1,1,2,6,10 gp 8 sp
0,0,0,2,5,4 gp 8 sp
1,0,1,2,5,6 gp 0 sp
2,2,3,4,1,51 gp 0 sp
3,1,3,3,1,22 gp 0 sp
2,1,3,3,1,25 gp 6 sp
0,0,0,5,8,12 gp 8 sp
0,0,1,4,7,15 gp 6 sp
0,0,0,5,7,12 gp 2 sp
0,0,3,4,0,17 gp 4 sp
0,0,3,4,0,17 gp 4 sp
0,0,3,5,0,16 gp 2 sp
1,1,0,2,1,4 gp 8 sp
1,1,0,2,1,4 gp 8 sp
2,0,0,3,0,3 gp 9 sp
2,1,0,3,0,8 gp 1 sp
1,1,0,2,0,4 gp 2 sp
4,0,0,15,25,32 gp 8 sp
0,0,0,1,4,3 gp 0 sp
0,1,0,1,4,5 gp 8 sp
0,0,0,0,4,0 gp 8 sp
2,2,0,2,5,25 gp 2 sp
2,2,0,2,5,25 gp 2 sp
2,2,0,2,5,25 gp 2 sp
2,1,0,2,4,8 gp 4 sp
0,0,1,1,8,9 gp 9 sp
0,1,1,2,7,15 gp 6 sp
0,0,1,2,7,11 gp 4 sp
1,0,0,0,6,0 gp 0 sp
2,1,1,0,6,8 gp 4 sp
2,0,0,0,5,0 gp 0 sp
2,0,0,0,5,0 gp 0 sp
3,1,1,2,8,16 gp 8 sp
3,0,1,2,8,5 gp 4 sp
2,0,1,2,7,9 gp 0 sp
2,0,0,2,6,5 gp 4 sp
2,0,0,1,6,3 gp 3 sp
2,0,0,2,5,4 gp 8 sp
2,0,0,1,5,0 gp 0 sp
1,0,0,1,5,0 gp 0 sp
2,0,0,2,6,5 gp 4 sp
2,0,0,2,6,5 gp 4 sp
2,0,0,2,6,5 gp 4 sp
2,0,0,2,6,5 gp 4 sp
2,0,0,2,5,4 gp 8 sp
2,0,0,4,2,7 gp 2 sp
1,0,1,5,2,7 gp 8 sp
1,0,0,5,1,4 gp 8 sp
0,1,4,0,10,29 gp 6 sp
0,0,4,0,9,5 gp 8 sp
4,1,2,2,3,19 gp 2 sp
5,0,2,1,2,6 gp 4 sp
0,0,0,1,0,1 gp 4 sp
1,0,1,0,0,0 gp 0 sp
1,0,1,0,0,0 gp 0 sp
2,0,1,0,0,0 gp 0 sp
2,1,1,0,0,4 gp 8 sp
1,0,1,0,0,0 gp 0 sp
2,0,0,0,0,0 gp 0 sp
2,1,2,0,4,10 gp 2 sp
1,1,2,0,4,8 gp 4 sp
2,1,2,0,4,10 gp 2 sp
2,2,1,0,4,15 gp 6 sp
1,1,1,0,3,4 gp 8 sp
1,1,1,0,0,3 gp 0 sp
1,1,2,0,0,6 gp 0 sp
0,1,1,0,0,4 gp 8 sp
1,1,1,0,0,3 gp 0 sp
2,1,0,2,4,8 gp 4 sp
2,1,0,2,4,8 gp 4 sp
2,1,1,3,4,20 gp 0 sp
2,1,1,2,4,11 gp 4 sp
2,1,1,3,3,19 gp 2 sp
0,2,0,0,3,14 gp 4 sp
0,1,0,0,3,4 gp 0 sp
1,2,0,0,3,10 gp 2 sp
0,2,0,0,2,13 gp 8 sp
2,1,1,3,5,20 gp 8 sp
3,2,1,4,4,30 gp 4 sp
3,1,1,3,4,16 gp 4 sp
6,2,0,0,17,26 gp 8 sp
2,0,4,1,7,23 gp 2 sp
1,0,4,1,6,20 gp 0 sp
1,0,0,1,7,0 gp 0 sp
0,0,0,1,7,4 gp 2 sp
0,0,1,0,7,2 gp 4 sp
2,0,3,0,0,6 gp 6 sp
2,0,2,0,0,3 gp 6 sp
2,0,3,0,0,6 gp 6 sp
6,0,0,6,3,3 gp 0 sp
5,0,0,7,2,2 gp 8 sp
0,1,2,2,2,15 gp 6 sp
0,1,2,3,2,17 gp 7 sp
1,1,2,3,2,20 gp 0 sp
1,1,2,3,2,20 gp 0 sp
0,3,3,2,4,48 gp 8 sp
0,3,3,3,4,64 gp 5 sp
3,0,0,0,1,0 gp 0 sp
2,1,0,1,0,3 gp 9 sp
3,0,0,1,0,0 gp 0 sp
3,0,0,1,0,0 gp 0 sp
0,4,9,5,0,55 gp 8 sp
0,0,1,3,4,11 gp 7 sp
0,0,2,3,3,14 gp 1 sp
0,0,1,2,3,9 gp 0 sp
1,1,0,0,0,0 gp 0 sp
1,1,0,0,0,0 gp 0 sp
1,0,0,1,0,0 gp 0 sp
1,1,0,0,0,0 gp 0 sp
2,0,0,1,0,0 gp 0 sp
0,0,1,2,0,4 gp 8 sp
0,0,1,1,0,3 gp 4 sp
0,0,1,2,0,4 gp 8 sp
1,0,1,2,1,3 gp 6 sp
2,0,1,2,0,4 gp 8 sp
2,0,1,1,0,0 gp 0 sp
2,0,1,1,0,0 gp 0 sp
1,0,2,2,0,6 gp 0 sp
2,0,2,3,0,9 gp 9 sp
2,0,2,4,0,18 gp 0 sp
2,1,3,3,0,24 gp 8 sp
2,1,2,3,0,20 gp 8 sp
1,0,3,13,6,28 gp 8 sp
0,1,1,1,4,11 gp 7 sp
0,1,1,2,4,13 gp 8 sp
0,2,1,1,4,20 gp 1 sp
0,2,2,2,4,33 gp 6 sp
2,0,3,0,4,9 gp 0 sp
1,1,3,0,3,10 gp 8 sp
2,1,3,0,3,18 gp 8 sp
0,1,0,1,2,5 gp 0 sp
1,1,0,1,2,3 gp 3 sp
0,1,0,1,2,5 gp 0 sp
0,0,0,1,2,2 gp 2 sp
0,0,0,1,2,2 gp 2 sp
2,0,0,2,2,3 gp 0 sp
2,1,0,1,2,5 gp 1 sp
2,0,0,2,1,0 gp 0 sp
3,1,0,2,1,2 gp 4 sp
0,0,0,0,5,1 gp 0 sp
0,0,0,0,5,1 gp 0 sp
0,0,0,0,4,0 gp 8 sp
1,2,0,0,5,11 gp 4 sp
1,1,0,0,5,3 gp 0 sp
0,1,1,0,5,10 gp 2 sp
0,2,0,0,5,15 gp 6 sp
0,1,1,0,4,9 gp 6 sp
2,0,0,3,6,7 gp 5 sp
2,0,0,3,6,7 gp 5 sp
1,0,0,3,6,5 gp 7 sp
2,0,0,3,5,6 gp 9 sp
2,0,0,3,5,6 gp 9 sp
0,0,2,5,3,15 gp 2 sp
0,0,1,5,2,12 gp 2 sp
4,0,0,7,14,13 gp 2 sp
5,0,0,6,13,6 gp 5 sp
2,0,0,2,0,0 gp 0 sp
1,1,0,2,0,4 gp 2 sp
2,1,0,2,0,6 gp 0 sp
1,0,0,2,0,0 gp 0 sp
3,0,0,0,0,0 gp 0 sp
2,1,0,0,0,0 gp 0 sp
2,1,0,0,0,0 gp 0 sp
3,0,3,4,0,18 gp 4 sp
3,0,2,3,0,5 gp 7 sp
3,0,3,3,0,15 gp 6 sp
6,0,0,14,0,15 gp 5 sp
1,1,1,3,6,19 gp 2 sp
1,1,0,2,6,7 gp 8 sp
1,2,0,2,6,23 gp 6 sp
1,1,1,2,5,10 gp 2 sp
1,1,0,2,5,7 gp 2 sp
4,0,0,0,2,0 gp 0 sp
4,1,0,0,2,0 gp 6 sp
3,0,1,6,0,5 gp 5 sp
2,0,0,7,0,9 gp 2 sp
7,0,0,4,14,15 gp 2 sp
0,2,0,5,6,22 gp 2 sp
0,2,0,4,6,32 gp 8 sp
0,3,0,4,6,44 gp 0 sp
2,0,1,3,2,8 gp 1 sp
2,0,0,2,2,3 gp 0 sp
2,0,0,3,1,4 gp 5 sp
0,0,7,15,0,43 gp 8 sp
0,6,0,8,1,53 gp 0 sp
0,2,0,7,3,24 gp 2 sp
0,3,0,7,3,31 gp 2 sp
0,0,0,1,6,3 gp 8 sp
1,1,0,1,6,5 gp 7 sp
1,1,0,0,5,3 gp 0 sp
0,0,0,0,5,1 gp 0 sp
0,1,0,1,5,9 gp 3 sp
2,0,3,2,0,10 gp 8 sp
3,0,3,2,0,12 gp 8 sp
2,1,3,3,0,24 gp 8 sp
0,0,0,3,3,5 gp 4 sp
0,1,0,3,2,11 gp 7 sp
0,1,0,3,2,11 gp 7 sp
0,6,0,0,0,61 gp 6 sp
3,2,0,14,0,27 gp 5 sp
0,2,0,0,4,15 gp 0 sp
0,2,0,0,4,15 gp 0 sp
0,3,0,0,4,23 gp 4 sp
1,0,2,2,1,6 gp 6 sp
1,0,3,2,1,9 gp 6 sp
1,0,2,2,1,6 gp 6 sp
0,2,1,8,8,31 gp 0 sp
0,2,2,7,8,31 gp 8 sp
3,3,1,1,13,53 gp 5 sp
3,2,1,0,13,26 gp 4 sp
0,4,7,0,27,111 gp 0 sp
4,1,2,4,0,22 gp 4 sp
3,1,1,4,0,16 gp 0 sp
3,1,2,4,0,20 gp 0 sp
0,2,2,9,11,36 gp 8 sp
0,1,1,0,0,4 gp 8 sp
0,1,1,0,0,4 gp 8 sp
0,1,1,0,0,4 gp 8 sp
0,2,2,0,0,18 gp 6 sp
0,2,1,0,0,15 gp 6 sp
0,2,0,0,6,16 gp 2 sp
0,2,0,0,6,16 gp 2 sp
0,1,0,0,6,5 gp 2 sp
0,1,0,0,6,5 gp 2 sp
7,0,0,1,4,0 gp 0 sp
11,0,0,5,2,0 gp 0 sp
1,3,4,5,13,38 gp 2 sp
2,2,4,6,12,34 gp 0 sp
2,0,0,0,6,0 gp 0 sp
2,0,1,0,6,4 gp 2 sp
2,0,0,0,6,0 gp 0 sp
2,0,0,1,6,3 gp 3 sp
3,0,1,2,8,5 gp 4 sp
3,0,0,2,8,2 gp 4 sp
4,0,0,1,8,2 gp 1 sp
2,0,0,0,0,0 gp 0 sp
2,0,1,0,0,0 gp 0 sp
2,1,0,0,0,0 gp 0 sp
2,0,0,0,0,0 gp 0 sp
2,0,0,0,0,0 gp 0 sp
0,0,0,0,16,3 gp 2 sp
0,0,1,2,4,9 gp 6 sp
0,0,1,2,3,9 gp 0 sp
0,0,1,2,3,9 gp 0 sp
0,0,1,2,3,9 gp 0 sp
0,1,0,0,2,3 gp 6 sp
0,2,0,1,2,15 gp 9 sp
0,1,0,0,1,3 gp 2 sp
11,2,5,1,1,47 gp 5 sp
5,1,0,7,1,5 gp 8 sp
5,0,0,8,1,4 gp 0 sp
1,0,0,3,2,3 gp 3 sp
1,0,0,3,1,0 gp 0 sp
1,1,0,3,1,6 gp 9 sp
1,0,0,3,1,0 gp 0 sp
0,0,1,0,6,2 gp 2 sp
1,0,1,0,6,0 gp 0 sp
1,1,2,0,5,9 gp 0 sp
1,1,1,1,5,8 gp 1 sp
1,0,2,0,5,4 gp 8 sp
0,1,2,0,4,12 gp 6 sp
0,0,2,0,4,2 gp 8 sp
2,0,1,0,0,0 gp 0 sp
2,0,1,1,0,0 gp 0 sp
1,0,1,1,0,0 gp 0 sp
2,0,0,1,0,0 gp 0 sp
1,0,0,0,0,0 gp 0 sp
1,1,0,0,2,0 gp 0 sp
0,2,0,0,2,13 gp 8 sp
1,1,0,0,1,0 gp 0 sp
1,1,0,0,1,0 gp 0 sp
0,1,0,0,1,3 gp 2 sp
3,3,3,0,10,57 gp 0 sp
2,4,4,0,10,79 gp 0 sp
5,3,0,0,0,22 gp 0 sp
5,2,0,0,0,3 gp 6 sp
0,2,1,0,6,19 gp 2 sp
0,1,1,0,6,10 gp 8 sp
0,1,1,0,6,10 gp 8 sp
1,1,1,0,5,6 gp 0 sp
0,1,1,0,5,10 gp 2 sp
1,2,6,14,25,58 gp 0 sp
1,1,1,2,6,10 gp 8 sp
1,1,0,1,6,5 gp 7 sp
1,1,1,1,6,8 gp 7 sp
2,1,1,1,6,10 gp 5 sp
2,0,2,0,3,5 gp 4 sp
2,0,2,1,3,7 gp 5 sp
2,0,2,0,3,5 gp 4 sp
1,0,2,0,3,3 gp 6 sp
5,1,0,1,14,13 gp 6 sp
5,2,0,0,13,21 gp 2 sp
2,0,4,0,0,9 gp 6 sp
3,0,4,0,0,5 gp 4 sp
2,0,0,3,3,5 gp 7 sp
1,0,0,3,3,3 gp 9 sp
1,0,0,4,2,5 gp 4 sp
1,0,0,3,2,3 gp 3 sp
0,1,3,0,4,15 gp 6 sp
0,1,2,0,4,12 gp 6 sp
0,0,2,0,3,2 gp 6 sp
0,0,2,0,3,2 gp 6 sp
1,1,1,3,2,10 gp 5 sp
1,1,0,4,2,9 gp 6 sp
1,1,0,4,2,9 gp 6 sp
0,1,0,3,2,11 gp 7 sp
0,0,2,0,0,2 gp 0 sp
0,0,1,0,0,1 gp 0 sp
0,0,1,0,0,1 gp 0 sp
0,0,1,0,0,1 gp 0 sp
0,0,2,0,0,2 gp 0 sp
0,3,5,0,0,48 gp 0 sp
0,0,1,1,2,4 gp 2 sp
0,0,1,2,1,5 gp 2 sp
0,0,1,2,1,5 gp 2 sp
0,0,1,2,1,5 gp 2 sp
0,0,1,2,1,5 gp 2 sp
0,0,5,9,0,28 gp 2 sp
0,3,0,7,1,30 gp 2 sp
5,1,4,8,12,23 gp 0 sp
5,0,4,7,12,17 gp 8 sp
0,2,1,2,2,21 gp 0 sp
0,1,1,2,2,12 gp 6 sp
0,1,1,2,2,12 gp 6 sp
0,2,1,1,1,18 gp 3 sp
1,1,1,2,7,11 gp 4 sp
1,0,1,2,7,7 gp 2 sp
2,1,1,2,7,19 gp 6 sp
1,1,0,1,0,0 gp 0 sp
2,1,1,2,0,9 gp 0 sp
1,1,1,2,0,7 gp 2 sp
1,2,0,1,0,10 gp 5 sp
2,1,0,1,0,3 gp 9 sp
0,0,0,3,4,5 gp 8 sp
0,1,0,2,4,10 gp 8 sp
0,1,0,0,5,4 gp 8 sp
1,2,0,0,5,11 gp 4 sp
0,1,0,0,4,4 gp 4 sp
0,1,0,0,4,4 gp 4 sp
0,1,0,0,4,4 gp 4 sp
8,2,1,0,5,20 gp 0 sp
2,1,1,0,0,4 gp 8 sp
1,1,1,0,0,3 gp 0 sp
2,1,1,0,0,4 gp 8 sp
1,1,1,0,0,3 gp 0 sp
1,1,1,0,0,3 gp 0 sp
0,0,0,2,6,5 gp 2 sp
0,0,0,1,5,3 gp 4 sp
1,0,0,1,5,0 gp 0 sp
0,0,0,2,5,4 gp 8 sp
10,0,1,5,4,0 gp 0 sp
0,1,0,0,2,3 gp 6 sp
0,2,0,0,2,13 gp 8 sp
0,2,1,0,1,16 gp 2 sp
2,0,0,3,0,3 gp 9 sp
2,0,1,4,0,9 gp 0 sp
1,0,0,4,0,4 gp 2 sp
1,0,0,3,0,0 gp 0 sp
0,1,3,4,4,32 gp 0 sp
0,1,3,4,3,31 gp 2 sp
0,1,2,4,3,27 gp 2 sp
3,2,2,2,0,25 gp 6 sp
2,2,2,2,0,29 gp 2 sp
2,2,3,2,0,33 gp 2 sp
3,1,2,3,0,17 gp 2 sp
0,3,3,5,14,40 gp 8 sp
0,4,2,5,14,45 gp 2 sp
4,3,0,0,18,53 gp 0 sp
11,6,2,7,0,36 gp 2 sp
0,2,2,1,0,20 gp 7 sp
0,2,3,2,0,34 gp 4 sp
0,2,3,2,0,34 gp 4 sp
11,0,0,3,0,0 gp 0 sp
4,1,0,0,4,1 gp 8 sp
3,1,0,0,4,0 gp 0 sp
2,0,0,3,4,6 gp 3 sp
1,0,0,3,3,3 gp 9 sp
2,0,0,2,3,3 gp 6 sp
2,0,0,3,3,5 gp 7 sp
0,0,1,1,1,3 gp 8 sp
0,0,1,1,1,3 gp 8 sp
0,0,1,0,1,1 gp 2 sp
0,0,1,1,0,3 gp 4 sp
0,0,1,0,0,1 gp 0 sp
3,0,0,1,0,0 gp 0 sp
3,0,0,0,0,0 gp 0 sp
3,0,0,0,0,0 gp 0 sp
1,2,3,2,15,55 gp 0 sp
0,2,4,2,14,62 gp 0 sp
2,0,2,3,5,19 gp 2 sp
2,0,2,3,4,18 gp 4 sp
3,0,1,3,4,5 gp 1 sp
2,0,2,3,4,18 gp 4 sp
0,1,0,6,13,20 gp 5 sp
0,0,0,5,13,15 gp 2 sp
4,1,2,2,0,16 gp 8 sp
4,2,1,2,0,24 gp 0 sp
1,1,3,0,2,10 gp 2 sp
2,1,2,1,1,10 gp 5 sp
2,1,2,0,1,8 gp 4 sp
2,1,2,0,1,8 gp 4 sp
0,0,1,8,13,23 gp 0 sp
0,0,1,7,12,20 gp 8 sp
0,1,0,0,0,2 gp 8 sp
0,1,0,0,0,2 gp 8 sp
0,1,0,0,0,2 gp 8 sp
0,1,0,0,0,2 gp 8 sp
0,1,0,0,0,2 gp 8 sp
0,0,3,1,5,14 gp 1 sp
0,0,2,1,5,11 gp 1 sp
0,0,3,1,5,14 gp 1 sp
3,0,0,2,4,0 gp 0 sp
2,0,0,2,4,4 gp 2 sp
3,0,0,3,3,1 gp 5 sp
0,0,8,0,0,8 gp 0 sp
0,0,1,3,1,9 gp 9 sp
0,0,1,3,1,9 gp 9 sp
0,0,1,3,0,9 gp 3 sp
2,0,3,3,5,23 gp 2 sp
2,0,2,2,5,10 gp 8 sp
1,1,3,4,0,25 gp 2 sp
1,1,2,4,0,21 gp 2 sp
1,1,2,5,0,12 gp 8 sp
1,1,2,2,1,10 gp 8 sp
1,1,1,2,1,7 gp 8 sp
1,1,2,2,1,10 gp 8 sp
1,2,1,2,1,23 gp 6 sp
2,1,1,2,1,9 gp 6 sp
2,1,0,1,5,6 gp 9 sp
2,1,0,1,5,6 gp 9 sp
2,0,0,0,5,0 gp 0 sp
1,4,4,4,1,81 gp 0 sp
1,3,3,4,1,62 gp 0 sp
3,0,2,4,1,15 gp 2 sp
3,0,2,4,0,14 gp 4 sp
2,0,2,4,0,18 gp 0 sp
4,3,4,4,8,77 gp 0 sp
5,3,4,3,7,69 gp 5 sp
1,1,1,4,0,11 gp 4 sp
0,1,2,4,0,24 gp 8 sp
0,1,2,3,0,16 gp 5 sp
0,0,0,2,0,2 gp 8 sp
0,0,1,1,0,3 gp 4 sp
0,0,1,2,0,4 gp 8 sp
0,0,0,2,0,2 gp 8 sp
0,0,0,1,0,1 gp 4 sp
1,0,0,2,2,0 gp 0 sp
1,0,0,2,2,0 gp 0 sp
1,0,0,3,1,0 gp 0 sp
1,0,0,2,1,0 gp 0 sp
4,3,0,5,0,20 gp 2 sp
4,3,0,5,0,20 gp 2 sp
0,0,2,7,6,20 gp 2 sp
0,0,1,8,5,19 gp 0 sp
0,0,0,15,15,33 gp 8 sp
0,0,1,4,3,13 gp 2 sp
1,0,1,3,2,6 gp 3 sp
1,0,1,3,2,6 gp 3 sp
1,0,0,3,2,3 gp 3 sp
5,0,0,1,2,0 gp 0 sp
5,0,0,0,2,0 gp 0 sp
0,2,3,3,16,62 gp 5 sp
10,1,1,15,9,21 gp 8 sp
0,1,1,2,2,12 gp 6 sp
0,2,1,2,2,21 gp 0 sp
0,2,1,2,2,21 gp 0 sp
0,2,1,2,1,20 gp 4 sp
4,3,4,4,14,83 gp 0 sp
5,3,4,4,13,79 gp 0 sp
2,0,0,6,7,11 gp 0 sp
1,0,0,6,6,9 gp 0 sp
0,1,0,0,0,2 gp 8 sp
0,1,0,0,0,2 gp 8 sp
0,1,0,0,0,2 gp 8 sp
0,2,0,0,0,8 gp 4 sp
0,2,0,0,0,8 gp 4 sp
2,1,2,0,5,10 gp 8 sp
2,0,1,0,5,3 gp 6 sp
2,1,2,0,5,10 gp 8 sp
2,1,2,0,5,10 gp 8 sp
2,0,2,2,0,7 gp 8 sp
2,0,2,2,0,7 gp 8 sp
2,0,2,2,0,7 gp 8 sp
1,0,1,2,0,3 gp 0 sp
3,5,0,10,14,48 gp 5 sp
3,0,0,0,4,0 gp 0 sp
3,0,0,0,4,0 gp 0 sp
3,0,0,0,4,0 gp 0 sp
2,0,0,0,3,0 gp 0 sp
0,1,1,0,6,10 gp 8 sp
0,1,1,0,6,10 gp 8 sp
0,1,0,0,5,4 gp 8 sp
0,1,0,0,5,4 gp 8 sp
0,1,0,0,5,4 gp 8 sp
0,0,0,8,21,24 gp 5 sp
1,0,1,0,0,0 gp 0 sp
1,0,2,0,0,0 gp 0 sp
1,0,1,0,0,0 gp 0 sp
1,0,1,0,0,0 gp 0 sp
9,0,8,4,13,64 gp 0 sp
0,1,1,2,0,11 gp 4 sp
0,1,0,2,0,5 gp 6 sp
0,1,1,2,0,11 gp 4 sp
4,2,1,0,10,26 gp 4 sp
3,1,1,1,9,14 gp 8 sp
3,2,1,1,9,26 gp 0 sp
0,0,4,4,8,33 gp 6 sp
0,0,3,5,7,19 gp 8 sp
0,0,3,4,7,28 gp 8 sp
0,0,3,3,6,25 gp 2 sp
0,0,3,4,6,28 gp 0 sp
0,0,2,0,9,3 gp 8 sp
0,0,2,0,8,3 gp 6 sp
2,1,0,3,5,11 gp 1 sp
1,0,0,3,5,5 gp 1 sp
2,1,0,3,4,10 gp 5 sp
1,0,0,3,4,4 gp 5 sp
2,2,2,4,6,51 gp 0 sp
2,2,2,4,6,51 gp 0 sp
3,2,2,4,6,48 gp 0 sp
2,0,0,1,6,3 gp 3 sp
1,0,0,0,6,0 gp 0 sp
1,0,0,1,6,0 gp 0 sp
1,0,0,1,6,0 gp 0 sp
1,0,0,1,5,0 gp 0 sp
8,5,5,4,13,115 gp 0 sp
2,0,1,0,0,0 gp 0 sp
2,1,1,0,0,4 gp 8 sp
3,1,1,0,0,0 gp 6 sp
2,1,1,0,0,4 gp 8 sp
0,6,7,3,15,137 gp 5 sp
2,3,7,10,20,59 gp 5 sp
0,0,0,3,1,4 gp 6 sp
0,0,0,2,0,2 gp 8 sp
1,0,0,2,0,0 gp 0 sp
1,0,0,2,0,0 gp 0 sp
0,6,0,9,22,65 gp 2 sp
5,7,6,0,3,121 gp 0 sp
3,1,2,0,0,3 gp 6 sp
3,1,2,1,0,5 gp 7 sp
2,1,2,0,0,7 gp 8 sp
3,2,3,1,0,26 gp 8 sp
0,0,3,2,7,17 gp 4 sp
0,1,3,2,6,28 gp 0 sp
0,1,3,2,6,28 gp 0 sp
0,0,2,6,0,15 gp 5 sp
0,0,1,6,0,13 gp 0 sp
3,2,0,7,9,19 gp 8 sp
4,1,0,8,8,15 gp 5 sp
2,0,0,2,0,0 gp 0 sp
2,0,0,1,0,0 gp 0 sp
